	mean	std	cv	id	range
PF00374	1.0971250000000001	0.09215117625789858	0.08399332460558147	0.0077400836602158265	0.27100000000000013
PF01058	0.4485	0.011832159566199242	0.026381626680488834	0.0003121516164994431	0.040000000000000036
PF01568	0.40225	0.04912011516971142	0.12211340004900291	0.005998224274172066	0.13499999999999995
PF01747	1.025125	0.058077380647349644	0.056653950149835035	0.0032903130280279407	0.19300000000000006
PF02662	0.8150000000000001	0.027401772622535625	0.03362180689881671	0.0009212971078001753	0.06399999999999995
PF04358	0.52475	0.004949747468305838	0.00943258212159283	4.668889947594101e-05	0.014000000000000012
PF04879	0.37125	0.05219126911111255	0.14058254306023582	0.007337181337181335	0.14499999999999996
PF08770	0.351875	0.026658890235181008	0.07576238787973288	0.0020197411824410066	0.08200000000000007
PF09242	0.378	0.03828091654373718	0.10127226598872269	0.0038767951625094466	0.124
PF10418	0.7818749999999999	0.05697978965011568	0.07287583008807762	0.004152449468996234	0.14400000000000013
PF12139	1.196875	0.006937218462755811	0.005796109420579268	4.0208877284595384e-05	0.014000000000000012
PF13247	0.6613749999999999	0.06466161921882252	0.09776846602732568	0.0063218673218673185	0.15599999999999992
